community_id,protein_id,membership_type,membership_score,topology_score,semantic_score,go_score,expansion_gain,gold_supported
2,YPL129W,uncertain_orbit,-0.04580139066175104,0.10810810810810811,-0.1997108894316102,0.0,0.0,0.0
2,YPR034W,inner_orbit,0.19428921722082407,0.4864864864864865,-0.09790805204483838,0.0,0.0,0.0
4,YBR072W,outer_orbit,0.12869110075591395,0.2,0.0573822015118279,0.0,0.0,0.0
4,YEL022W,outer_orbit,0.061610853735721706,0.2,-0.0767782925285566,0.0,0.0,0.0
4,YJR077C,inner_orbit,0.3355397109886629,0.8,-0.12892057802267423,0.0,0.0,0.0
4,YKL182W,outer_orbit,0.0889714556562625,0.2,-0.02205708868747503,0.0,0.0,0.0
4,YML016C,inner_orbit,0.27209983973569707,0.4,0.14419967947139414,0.0,0.0,0.0
4,YPR184W,inner_orbit,0.29419964630530687,0.6,-0.01160070738938625,0.0,0.0,0.0
5,YAL043C,inner_orbit,0.2940298330787607,0.6818181818181818,-0.09375851566066042,0.0,0.0,1.0
5,YAR014C,outer_orbit,0.12753246063629228,0.22727272727272727,0.027792193999857284,0.0,0.0,0.0
5,YDR195W,inner_orbit,0.3331302232644048,0.7272727272727273,-0.061012280743917735,0.0,0.0,1.0
5,YDR301W,inner_orbit,0.109534365903626,0.5909090909090909,-0.37184035910183894,0.0,0.0,1.0
5,YER070W,outer_orbit,0.02041433257421081,0.22727272727272727,-0.18644406212430564,0.0,0.0,0.0
5,YER133W,inner_orbit,0.4593547169876193,0.8181818181818182,0.10052761579342046,0.0,0.0,1.0
5,YGR156W,inner_orbit,0.2392777341798797,0.5,-0.021444531640240627,0.0,0.0,1.0
5,YJR093C,inner_orbit,0.2529500946892923,0.5454545454545454,-0.03955435607596076,0.0,0.0,1.0
5,YKL018W,inner_orbit,0.2612208440257042,0.5909090909090909,-0.06846740285768245,0.0,0.0,1.0
5,YKL059C,inner_orbit,0.2877928110536676,0.5909090909090909,-0.01532346880175578,0.0,0.0,1.0
5,YKL193C,outer_orbit,0.12969265355389803,0.22727272727272727,0.03211257983506877,0.0,0.0,0.0
5,YKR002W,inner_orbit,0.24868860181737296,0.6363636363636364,-0.13898643272889044,0.0,0.0,1.0
5,YLR028C,outer_orbit,0.15951097565967626,0.22727272727272727,0.09174922404662525,0.0,0.0,0.0
5,YLR115W,inner_orbit,0.20710607301318865,0.5909090909090909,-0.17669694488271365,0.0,0.0,1.0
5,YLR258W,outer_orbit,0.15253655725168874,0.22727272727272727,0.07780038723065019,0.0,0.0,0.0
5,YLR277C,inner_orbit,0.351209337756818,0.5454545454545454,0.15696413005909057,0.0,0.0,1.0
5,YLR448W,outer_orbit,0.1165792539060083,0.09090909090909091,0.1422494169029257,0.0,0.0,0.0
5,YMR061W,inner_orbit,0.23413407942736114,0.5,-0.03173184114527772,0.0,0.0,0.0
5,YMR311C,uncertain_orbit,-0.05143251126405023,0.045454545454545456,-0.14831956798264592,0.0,0.0,0.0
5,YNL222W,outer_orbit,0.067233429687509,0.22727272727272727,-0.09280586789770924,0.0,0.0,1.0
5,YNL317W,inner_orbit,0.3361825251799771,0.5909090909090909,0.08145595945086322,0.0,0.0,1.0
5,YOR179C,inner_orbit,0.07002919200922798,0.2727272727272727,-0.13266888870881674,0.0,0.0,1.0
5,YPR107C,inner_orbit,0.3274805314067848,0.5909090909090909,0.0640519719044787,0.0,0.0,1.0
6,YBR279W,inner_orbit,0.19381255672008083,0.35294117647058826,0.0346839369695734,0.0,0.0,0.0
6,YER103W,outer_orbit,0.12186824896123402,0.23529411764705882,0.008442380275409216,0.0,0.0,0.0
6,YER164W,inner_orbit,0.23156174656004638,0.4117647058823529,0.051358787237739824,0.0,0.0,0.0
6,YGL019W,inner_orbit,0.33720187484936326,0.6470588235294118,0.027344926169314766,0.0,0.0,0.0
6,YGL207W,inner_orbit,0.35169008683097214,0.47058823529411764,0.23279193836782663,0.0,0.0,0.0
6,YGL244W,inner_orbit,0.12461182912855653,0.29411764705882354,-0.044893988801710465,0.0,0.0,0.0
6,YIL035C,inner_orbit,0.42113558811431784,0.7058823529411765,0.1363888232874591,0.0,0.0,0.0
6,YKL064W,outer_orbit,0.18058631423044308,0.17647058823529413,0.184702040225592,0.0,0.0,0.0
6,YKL088W,inner_orbit,0.22908969104280857,0.35294117647058826,0.10523820561502889,0.0,0.0,0.0
6,YLR223C,uncertain_orbit,0.04884903867584194,0.11764705882352941,-0.01994898147184553,0.0,0.0,0.0
6,YLR407W,uncertain_orbit,0.034820598129027734,0.058823529411764705,0.010817666846290765,1.0,0.0,0.0
6,YLR418C,inner_orbit,0.3050703564006923,0.5882352941176471,0.021905418683737535,0.0,0.0,0.0
6,YML069W,inner_orbit,0.20119927839483115,0.4117647058823529,-0.009366149092690639,0.0,0.0,0.0
6,YMR172W,inner_orbit,0.14906631613480137,0.35294117647058826,-0.05480854420098554,0.0,0.0,0.0
6,YOL145C,inner_orbit,0.3704465621087455,0.5294117647058824,0.21148135951160862,0.0,0.0,0.0
6,YOR039W,inner_orbit,0.43589505486701724,0.6470588235294118,0.2247312862046227,0.0,0.0,0.0
6,YOR061W,inner_orbit,0.4028296906803432,0.7058823529411765,0.09977702841950989,0.0,0.0,0.0
6,YOR123C,outer_orbit,0.21527500884919748,0.23529411764705882,0.1952559000513361,0.0,0.0,0.0
7,YER107C,inner_orbit,0.2799534335421424,0.5,0.05990686708428485,0.0,0.0,0.0
7,YFR002W,inner_orbit,0.25835968195025233,0.5,0.01671936390050469,0.0,0.0,0.0
7,YGL172W,inner_orbit,0.22015093932829805,0.5,-0.05969812134340392,0.0,0.0,0.0
7,YGR119C,inner_orbit,0.22956993241596915,0.5,-0.04086013516806171,0.0,0.0,0.0
7,YIL115C,inner_orbit,0.2479506250163556,0.5,-0.004098749967288826,0.0,0.0,0.0
7,YJL039C,inner_orbit,0.20155499699594398,0.375,0.02810999399188795,0.0,0.0,0.0
7,YJL041W,inner_orbit,0.3959602270096737,0.875,-0.08307954598065259,0.0,0.0,0.0
7,YJL061W,inner_orbit,0.19385443172601732,0.5,-0.11229113654796535,0.0,0.0,0.0
7,YMR047C,inner_orbit,0.28106209461841497,0.5,0.06212418923682997,0.0,0.0,0.0
8,YBL075C,inner_orbit,0.48875216986281333,1.0,-0.02249566027437329,0.0,0.0,0.0
8,YJL155C,inner_orbit,0.4893519049098258,1.0,-0.02129619018034842,0.0,0.0,0.0
8,YLR345W,inner_orbit,0.49828869357917654,1.0,-0.003422612841646885,1.0,0.0,0.0
9,YAL032C,inner_orbit,0.12629943976812968,0.25287356321839083,-0.0002746836821314382,0.0,0.0,0.0
9,YBL026W,outer_orbit,0.09445023865966909,0.22988505747126436,-0.04098458015192617,0.0,0.0,0.0
9,YBL074C,uncertain_orbit,-0.031891915920418505,0.08045977011494253,-0.14424360195577954,0.0,0.0,0.0
9,YBL104C,outer_orbit,0.13800393470337696,0.1839080459770115,0.0920998234297424,0.0,0.0,0.0
9,YBR055C,outer_orbit,0.1450108618961492,0.16091954022988506,0.12910218356241332,0.0,0.0,0.0
9,YBR065C,outer_orbit,0.08656140393016615,0.19540229885057472,-0.022279490990242415,0.0,0.0,0.0
9,YBR119W,outer_orbit,0.18929784336918148,0.13793103448275862,0.24066465225560435,0.0,0.0,0.0
9,YBR152W,outer_orbit,0.0700236713023993,0.14942528735632185,-0.009377944751523254,0.0,0.0,0.0
