gold_complex_id,gold_size,best_candidate_id,best_jaccard,category
CPX-1068,2,15.0,0.25,best_jaccard_between_0_and_0.5
CPX-1071,3,,0.0,best_jaccard_eq_0
CPX-1101,6,803.0,0.07142857142857142,best_jaccard_between_0_and_0.5
CPX-1102,3,215.0,0.2857142857142857,best_jaccard_between_0_and_0.5
CPX-1103,4,215.0,0.25,best_jaccard_between_0_and_0.5
CPX-1125,2,149.0,0.1111111111111111,best_jaccard_between_0_and_0.5
CPX-1140,4,126.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1141,2,47.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1142,2,118.0,0.125,best_jaccard_between_0_and_0.5
CPX-1143,3,839.0,0.09090909090909091,best_jaccard_between_0_and_0.5
CPX-1149,3,1.0,0.11764705882352941,best_jaccard_between_0_and_0.5
CPX-1150,12,474.0,0.6428571428571429,best_jaccard_ge_0.5
CPX-1152,4,227.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1153,6,,0.0,best_jaccard_eq_0
CPX-1155,5,,0.0,best_jaccard_eq_0
CPX-1156,12,534.0,0.7692307692307693,best_jaccard_ge_0.5
CPX-1157,5,,0.0,best_jaccard_eq_0
CPX-1162,2,287.0,0.3333333333333333,best_jaccard_between_0_and_0.5
CPX-1165,5,,0.0,best_jaccard_eq_0
CPX-1166,4,,0.0,best_jaccard_eq_0
CPX-1167,4,146.0,0.1111111111111111,best_jaccard_between_0_and_0.5
CPX-1178,4,86.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1185,2,11.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1186,4,116.0,0.2,best_jaccard_between_0_and_0.5
CPX-1187,4,534.0,0.36363636363636365,best_jaccard_between_0_and_0.5
CPX-1188,3,,0.0,best_jaccard_eq_0
CPX-1189,2,251.0,0.3333333333333333,best_jaccard_between_0_and_0.5
CPX-1190,4,,0.0,best_jaccard_eq_0
CPX-1191,4,149.0,0.09090909090909091,best_jaccard_between_0_and_0.5
CPX-1198,3,191.0,0.75,best_jaccard_ge_0.5
CPX-1200,2,109.0,0.25,best_jaccard_between_0_and_0.5
CPX-1229,3,109.0,0.2,best_jaccard_between_0_and_0.5
CPX-1230,2,342.0,0.125,best_jaccard_between_0_and_0.5
CPX-1231,2,598.0,0.07692307692307693,best_jaccard_between_0_and_0.5
CPX-1249,2,5.0,0.09090909090909091,best_jaccard_between_0_and_0.5
CPX-1260,3,5.0,0.08695652173913043,best_jaccard_between_0_and_0.5
CPX-1266,2,382.0,0.125,best_jaccard_between_0_and_0.5
CPX-1267,2,598.0,0.07692307692307693,best_jaccard_between_0_and_0.5
CPX-1268,4,112.0,0.1,best_jaccard_between_0_and_0.5
CPX-1269,2,,0.0,best_jaccard_eq_0
CPX-1270,2,,0.0,best_jaccard_eq_0
CPX-1274,6,,0.0,best_jaccard_eq_0
CPX-1275,5,200.0,0.8,best_jaccard_ge_0.5
CPX-1276,7,86.0,0.1111111111111111,best_jaccard_between_0_and_0.5
CPX-1277,2,,0.0,best_jaccard_eq_0
CPX-1278,2,104.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1279,2,,0.0,best_jaccard_eq_0
CPX-1280,3,223.0,0.125,best_jaccard_between_0_and_0.5
CPX-1283,2,,0.0,best_jaccard_eq_0
CPX-1287,2,,0.0,best_jaccard_eq_0
CPX-1288,2,,0.0,best_jaccard_eq_0
CPX-1292,2,,0.0,best_jaccard_eq_0
CPX-1293,4,112.0,0.5714285714285714,best_jaccard_ge_0.5
CPX-1295,2,240.0,0.3333333333333333,best_jaccard_between_0_and_0.5
CPX-1302,2,,0.0,best_jaccard_eq_0
CPX-1303,2,,0.0,best_jaccard_eq_0
CPX-1304,3,151.0,0.125,best_jaccard_between_0_and_0.5
CPX-1306,2,,0.0,best_jaccard_eq_0
CPX-1307,2,,0.0,best_jaccard_eq_0
CPX-1315,3,659.0,0.08333333333333333,best_jaccard_between_0_and_0.5
CPX-1316,3,177.0,0.42857142857142855,best_jaccard_between_0_and_0.5
CPX-1317,2,,0.0,best_jaccard_eq_0
CPX-1318,2,,0.0,best_jaccard_eq_0
CPX-1319,2,793.0,0.045454545454545456,best_jaccard_between_0_and_0.5
CPX-1320,2,206.0,0.125,best_jaccard_between_0_and_0.5
CPX-1322,2,215.0,0.14285714285714285,best_jaccard_between_0_and_0.5
CPX-1323,3,206.0,0.1111111111111111,best_jaccard_between_0_and_0.5
CPX-1332,2,79.0,0.2,best_jaccard_between_0_and_0.5
CPX-1333,2,,0.0,best_jaccard_eq_0
CPX-1335,2,40.0,0.3333333333333333,best_jaccard_between_0_and_0.5
CPX-1340,2,,0.0,best_jaccard_eq_0
CPX-1341,2,22.0,0.2857142857142857,best_jaccard_between_0_and_0.5
CPX-1342,7,514.0,0.75,best_jaccard_ge_0.5
CPX-1344,2,51.0,0.18181818181818182,best_jaccard_between_0_and_0.5
CPX-1355,3,,0.0,best_jaccard_eq_0
